STATION,STATION_NAME,DATE,EMXT,EMNT
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890501,89.1,37.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890601,95.0,51.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890701,97.0,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890801,95.0,45.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890901,98.1,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19891001,86.0,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19891201,54.0,7.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900101,70.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900201,73.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900301,89.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900401,93.0,27.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900501,84.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900601,96.1,50.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900701,100.0,61.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900801,93.9,60.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900901,91.9,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19901001,88.0,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19901101,81.0,27.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19901201,71.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910101,59.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910201,73.9,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910301,80.1,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910401,89.1,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910501,100.9,46.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910601,100.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910701,102.0,62.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910801,99.0,60.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910901,97.0,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19911001,87.1,32.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19911101,75.9,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19911201,73.9,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920101,66.0,12.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920201,64.9,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920301,73.9,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920401,87.1,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920501,90.0,37.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920601,91.0,48.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920701,98.1,59.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920801,95.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920901,89.1,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19921001,84.9,28.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19921101,72.0,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19921201,60.1,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930101,71.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930201,64.9,10.9
